PersonId,PersonName,PersonAge,CityId
68    ,Franklin Kempe      ,38 ,7
69    ,Franklin Matamoros  ,16 ,1
70    ,Alex Escobar        ,104,6
71    ,Dennis Guevara      ,92 ,8
72    ,Leonardo Mendoza    ,53 ,8
73    ,Oswaldo Villela     ,29 ,2
74    ,Danilo Nuñez       ,43 ,3
75    ,Mary Rojas          ,92 ,8
76    ,Carl Galeano        ,59 ,9
77    ,Melvin Sánchez     ,25 ,4
78    ,Reynod Chirinos     ,6  ,6
79    ,Michell Galo        ,80 ,2
80    ,Elne Vargas         ,78 ,2
81    ,Francisco Matamoros ,67 ,4
82    ,Luis Kempe          ,108,1
83    ,Osman Portillo      ,69 ,8
84    ,Dennis Sánchez     ,75 ,1
85    ,Francisco Guevara   ,67 ,6
86    ,Oswaldo Bocanegra   ,56 ,5
87    ,Michael Luque       ,73 ,4
88    ,Ana Bocanegra       ,52 ,5
89    ,Josue Pinto         ,42 ,4
90    ,Reynod Nuñez       ,90 ,6
91    ,Juan Luis Gómez    ,64 ,6
92    ,Franklin Rovelo     ,3  ,3
93    ,Alex Luque          ,85 ,1
94    ,Danilo Escobar      ,97 ,1
95    ,Gerardo Sosa        ,79 ,1
96    ,Marcela Sosa        ,29 ,9
97    ,Melvin Bocanegra    ,78 ,1
98    ,Ana Rovelo          ,75 ,7
99    ,Manuel Gómez       ,64 ,7
100   ,Ingrid Guevara      ,39 ,7
101   ,Michael Sosa        ,4  ,6
102   ,Manuel Rovelo       ,23 ,8
103   ,Lester Villela      ,73 ,9
104   ,Laura Euceda        ,4  ,2
105   ,Jean Carlo Grito    ,82 ,8
106   ,Erick Kempe         ,16 ,9
107   ,Luis Soto           ,23 ,4
108   ,Juan Luis Bocanegra ,85 ,0
109   ,Daniel Guevara      ,84 ,7
110   ,Tania Rojas         ,16 ,3
111   ,Michael Vargas      ,87 ,6
112   ,Alejandra Chirinos  ,31 ,9
113   ,Ana Borjas          ,80 ,2
114   ,Tania Andino        ,109,2
115   ,Juan Luis Vargas    ,59 ,9
116   ,Alex Mejía         ,29 ,6
117   ,Josue Parker        ,51 ,8
118   ,Ana Vargas          ,101,5
119   ,Franklin Galo       ,7  ,2
120   ,Ana Chirinos        ,15 ,9
121   ,Alejandra Borjas    ,86 ,8
122   ,Jean Carlo Luque    ,96 ,2
123   ,Gerardo Gonzalez    ,14 ,2
124   ,Josue Guevara       ,14 ,9
125   ,Ingrid Rovelo       ,76 ,2
126   ,Nohelia Vargas      ,43 ,1
127   ,Elne Guevara        ,82 ,7
128   ,Luis Luque          ,34 ,2
129   ,Michael Tabora      ,49 ,6
130   ,Osman Escobar       ,73 ,2
131   ,Ingrid Pinto        ,39 ,7
132   ,Franklin Padgett    ,38 ,0
133   ,Melvin Mendoza      ,104,6
134   ,Michael Gonzalez    ,98 ,8
135   ,Osman Sánchez      ,2  ,5
136   ,Carlos Nuñez       ,14 ,8
137   ,Dennis Mejía       ,92 ,4
138   ,Ricardo Borjas      ,23 ,5
139   ,Oswaldo Grito       ,97 ,1
140   ,Leandro Soto        ,57 ,5
141   ,David Martínez     ,110,6
142   ,Daniel Escobar      ,28 ,1
143   ,Erick Rodriguez     ,36 ,4
144   ,Laura Martínez     ,30 ,6
145   ,Nohelia Matamoros   ,77 ,5
146   ,Ana Villela         ,65 ,3
147   ,Diego López        ,8  ,6
148   ,Miguel Euceda       ,78 ,8
149   ,Leonardo Sánchez   ,58 ,4
150   ,Daniel Galo         ,24 ,4
151   ,Leonardo Rodriguez  ,82 ,7
152   ,Richard Martínez   ,32 ,7
153   ,Michael Soto        ,26 ,8
154   ,Josue Figueroa      ,60 ,1
155   ,Gerardo Grito       ,98 ,3
156   ,Osman Ordoñez      ,57 ,5
157   ,Erick Parker        ,42 ,0
158   ,Iliana Mejía       ,56 ,5
159   ,Juan Luis Guevara   ,2  ,7
160   ,Daniel Soto         ,103,4
161   ,Ingrid Figueroa     ,31 ,1
162   ,Juan Luis Andino    ,59 ,1
163   ,Tania Rodriguez     ,63 ,9
164   ,Richard Escobar     ,21 ,8
165   ,Tania Parker        ,28 ,8
166   ,Lester Vargas       ,104,1
167   ,Nohelia Martínez   ,45 ,5
168   ,Miguel Bocanegra    ,83 ,5
169   ,Leonardo Chirinos   ,14 ,2
170   ,Nohelia López      ,33 ,9
171   ,Dennis Guevara      ,42 ,2
172   ,Michell Rovelo      ,60 ,4
173   ,Jean Carlo Mendoza  ,32 ,7
174   ,Ingrid Gonzalez     ,74 ,9
175   ,Michell Mendoza     ,73 ,5
176   ,Josue Ordoñez      ,88 ,8
177   ,Mary Gonzalez       ,99 ,7
178   ,Leandro Galeano     ,45 ,3
179   ,Lester Suazo        ,97 ,6
180   ,Oswaldo Varela      ,100,4
181   ,Erick Rojas         ,30 ,1
182   ,Jean Carlo Grito    ,29 ,3
183   ,Enrique Martínez   ,26 ,3
184   ,Elne Nuñez         ,89 ,4
185   ,Elne Pinto          ,2  ,6
186   ,Franklin Parker     ,96 ,1
187   ,Dennis Rojas        ,10 ,6
188   ,Manuel Andino       ,20 ,4
189   ,Omar Ordoñez       ,36 ,8
190   ,Andrea Borjas       ,32 ,2
191   ,Nohelia Tabora      ,93 ,8
192   ,Danilo Mejía       ,92 ,3
193   ,Manuel Rovelo       ,51 ,6
194   ,Laura Sánchez      ,29 ,4
195   ,Dennis Gómez       ,84 ,3
196   ,David Bocanegra     ,100,8
197   ,Daniel Sosa         ,59 ,6
198   ,Ana Suazo           ,35 ,8
199   ,Omar Sosa           ,30 ,4
200   ,Carlos Padgett      ,89 ,6
201   ,Marcela Pinto       ,106,2
202   ,Andrea Sánchez     ,64 ,2
203   ,Elne Chirinos       ,14 ,5
204   ,Nohelia Borjas      ,105,5
205   ,Gerardo Rojas       ,2  ,2
206   ,Enrique Gómez      ,110,9
207   ,Miguel Parker       ,35 ,4
208   ,Laura Villela       ,83 ,9
209   ,Elne Nuñez         ,77 ,6
210   ,Danilo Borjas       ,65 ,5
211   ,Alejandra Galo      ,16 ,9
212   ,Alejandra Euceda    ,107,4
213   ,Dennis Borjas       ,7  ,5
214   ,Josue Euceda        ,23 ,5
215   ,Carl Tabora         ,81 ,4
216   ,Oswaldo Velásquez  ,78 ,8
217   ,Mary Galo           ,53 ,3
218   ,Laura Pinto         ,77 ,5
219   ,Juan Luis Matamoros ,14 ,5
220   ,Daniel Varela       ,14 ,5
221   ,Ana Chirinos        ,108,1
222   ,Diego Borjas        ,51 ,8
223   ,Ricardo López      ,71 ,5
224   ,Omar Suazo          ,24 ,7
225   ,Franklin Rodriguez  ,53 ,6
226   ,Carlos Padgett      ,73 ,5
227   ,Ana Parker          ,13 ,2
228   ,Francisco Martínez ,29 ,5
229   ,Miguel Luque        ,102,3
230   ,Oswaldo Soto        ,105,9
231   ,Franklin Rodriguez  ,99 ,8
232   ,Ricardo Galeano     ,8  ,1
233   ,Omar Soto           ,79 ,6
234   ,Lester Parker       ,86 ,6
235   ,Michell Vargas      ,59 ,0
236   ,Michael Martínez   ,48 ,1
237   ,David López        ,71 ,3
238   ,Michael Escobar     ,33 ,5
239   ,Diego Andino        ,65 ,7
240   ,Oswaldo Galo        ,102,4
241   ,Manuel Padgett      ,61 ,9
242   ,Alex López         ,108,3
243   ,David Borjas        ,44 ,8
244   ,Elne Rovelo         ,74 ,6
245   ,Jean Carlo Sosa     ,29 ,0
246   ,Oswaldo Varela      ,85 ,7
247   ,Osman Bocanegra     ,84 ,9
248   ,Marcela Rovelo      ,107,2
249   ,Ana López          ,10 ,9
250   ,Gerardo Mendoza     ,107,4
251   ,Ricardo Nuñez      ,60 ,6
252   ,Enrique Luque       ,27 ,1
253   ,Erick Sosa          ,67 ,8
254   ,Michael Nuñez      ,21 ,8
255   ,Nohelia Luque       ,92 ,6
256   ,David Parker        ,83 ,7
257   ,Leonardo Rodriguez  ,76 ,6
258   ,Laura Chirinos      ,77 ,6
259   ,Ricardo Gómez      ,8  ,7
260   ,Diego Rodriguez     ,17 ,3
261   ,Melvin Pinto        ,15 ,5
262   ,Manuel Suazo        ,77 ,5
263   ,Osman Varela        ,79 ,4
264   ,Reynod Rodriguez    ,72 ,1
265   ,Reynod Parker       ,83 ,4
266   ,Daniel Sánchez     ,80 ,7
267   ,Enrique Grito       ,89 ,6
268   ,Alex Chirinos       ,107,9
269   ,Enrique Gonzalez    ,59 ,2
270   ,Juan Luis Luque     ,58 ,2
271   ,Ricardo Velásquez  ,3  ,7
272   ,Jean Carlo Rodriguez,33 ,0
273   ,Iliana López       ,93 ,4
274   ,Ana Kempe           ,46 ,7
275   ,Leandro Escobar     ,7  ,9
276   ,Ingrid Bocanegra    ,89 ,5
277   ,Juan Luis Bocanegra ,50 ,2
278   ,Osman Galo          ,101,4
279   ,Danilo Kempe        ,83 ,5
280   ,Ana Suazo           ,32 ,5
281   ,Diego Ordoñez      ,25 ,4
282   ,Carl Portillo       ,59 ,6
283   ,Franklin Figueroa   ,82 ,7
284   ,Alex Luque          ,35 ,7
285   ,Michael Galeano     ,88 ,6
286   ,Alex Borjas         ,10 ,6
287   ,David Ordoñez      ,81 ,3
288   ,Alex Rovelo         ,48 ,3
289   ,Omar Matamoros      ,74 ,3
290   ,Andrea Figueroa     ,22 ,4
291   ,Danilo Grito        ,28 ,4
292   ,Osman Rojas         ,65 ,7
293   ,Alejandra López    ,32 ,8
294   ,Osman Escobar       ,53 ,9
295   ,Mary Martínez      ,17 ,7
296   ,Andrea Martínez    ,25 ,1
297   ,Osman Matamoros     ,72 ,8
298   ,Laura Galo          ,66 ,8
299   ,Alejandra Chirinos  ,76 ,9
300   ,Josue Soto          ,64 ,7
301   ,Omar Luque          ,6  ,7
302   ,Michell Sosa        ,43 ,6
303   ,Leandro Padgett     ,89 ,2
304   ,Erick Varela        ,85 ,7
305   ,Alex Mejía         ,3  ,9
306   ,Josue Pinto         ,105,6
307   ,Ingrid Borjas       ,61 ,7
308   ,Lester Nuñez       ,53 ,4
309   ,David Santos        ,86 ,9
310   ,Mary Figueroa       ,64 ,5
311   ,Diego López        ,13 ,3
312   ,Alex Pinto          ,83 ,6
313   ,Enrique Tabora      ,39 ,2
314   ,Ricardo Parker      ,35 ,8
315   ,Alejandra Euceda    ,6  ,6
316   ,Josue Luque         ,38 ,9
317   ,Michael Grito       ,87 ,7
318   ,Miguel Luque        ,24 ,2
319   ,Andrea Rodriguez    ,94 ,4
320   ,Erick Martínez     ,19 ,7
321   ,Ingrid Vargas       ,63 ,5
322   ,Laura Euceda        ,35 ,8
323   ,Iliana Figueroa     ,94 ,3
324   ,Dennis Guevara      ,49 ,9
325   ,Melvin Figueroa     ,109,2
326   ,Oswaldo Parker      ,28 ,1
327   ,Miguel Mejía       ,79 ,4
328   ,David Chirinos      ,99 ,3
329   ,Osman Varela        ,62 ,5
330   ,Luis Pinto          ,1  ,4
331   ,Jean Carlo Guevara  ,30 ,8
332   ,Miguel Martínez    ,4  ,9
333   ,Reynod Chirinos     ,73 ,3
334   ,Gerardo Padgett     ,8  ,7
335   ,Dennis Nuñez       ,65 ,8
336   ,David Luque         ,38 ,2
337   ,Enrique Borjas      ,40 ,2
338   ,Reynod Nuñez       ,23 ,5
339   ,Oswaldo Martínez   ,21 ,2
340   ,Alex Rojas          ,64 ,6
341   ,Alejandra Borjas    ,103,1
342   ,Dennis Escobar      ,65 ,4
343   ,Richard Martínez   ,18 ,6
344   ,Leandro Ordoñez    ,18 ,5
345   ,Alejandra Soto      ,79 ,6
346   ,Juan Luis Portillo  ,18 ,7
347   ,Ingrid Sosa         ,96 ,7
348   ,Carlos Parker       ,24 ,6
349   ,Gerardo Chirinos    ,19 ,9
350   ,Jean Carlo Chirinos ,57 ,3
351   ,Francisco Kempe     ,68 ,9
352   ,Reynod Villela      ,93 ,6
353   ,Juan Luis Suazo     ,9  ,5
354   ,Daniel Grito        ,76 ,8
355   ,Luis Soto           ,34 ,4
356   ,David Padgett       ,80 ,0
357   ,Dennis Velásquez   ,64 ,5
358   ,Ingrid Figueroa     ,82 ,0
359   ,Ana Rodriguez       ,68 ,1
360   ,Andrea Rojas        ,62 ,4
361   ,Enrique Grito       ,20 ,2
362   ,Ana Parker          ,13 ,9
363   ,Laura Vargas        ,21 ,3
364   ,Carl Matamoros      ,36 ,2
365   ,Ingrid Sosa         ,82 ,9
366   ,Lester Sosa         ,19 ,7
367   ,Oswaldo Suazo       ,74 ,9
368   ,Marcela Figueroa    ,77 ,7
369   ,Dennis Andino       ,49 ,5
370   ,Franklin Figueroa   ,50 ,4
371   ,Carlos Luque        ,41 ,8
372   ,Daniel Borjas       ,98 ,3
373   ,Michell Borjas      ,7  ,7
374   ,Luis Tabora         ,100,6
375   ,Juan Luis Padgett   ,34 ,8
376   ,Andrea Soto         ,43 ,4
377   ,Iliana Varela       ,3  ,9
378   ,Marcela Vargas      ,15 ,9
379   ,Omar Pinto          ,69 ,3
380   ,Alejandra Rojas     ,91 ,1
381   ,Omar Villela        ,22 ,8
382   ,Oswaldo Vargas      ,79 ,5
383   ,Leonardo Parker     ,37 ,1
384   ,Michael Velásquez  ,50 ,5
385   ,Andrea Borjas       ,38 ,2
386   ,Melvin Ordoñez     ,39 ,7
387   ,Lester López       ,15 ,6
388   ,Carlos Pinto        ,13 ,4
389   ,Juan Luis Vargas    ,49 ,5
390   ,Iliana Kempe        ,13 ,4
391   ,Andrea Rojas        ,55 ,4
392   ,Michell Escobar     ,110,1
393   ,Manuel López       ,70 ,1
394   ,Leandro Galo        ,72 ,1
395   ,Osman Velásquez    ,71 ,5
396   ,Lester Villela      ,28 ,2
397   ,Franklin Borjas     ,84 ,9
398   ,Luis Tabora         ,96 ,6
399   ,Laura Andino        ,39 ,7
400   ,Nohelia Nuñez      ,102,4
401   ,Daniel Soto         ,56 ,8
402   ,Richard López      ,34 ,6
403   ,Reynod Bocanegra    ,58 ,3
404   ,Franklin Borjas     ,33 ,8
405   ,Leonardo Grito      ,82 ,8
406   ,Luis Gómez         ,52 ,3
407   ,Leonardo Galo       ,9  ,4
408   ,Melvin Matamoros    ,50 ,2
409   ,Daniel Luque        ,46 ,2
410   ,Dennis Gonzalez     ,104,7
411   ,Franklin Chirinos   ,82 ,3
412   ,Miguel Soto         ,8  ,6
413   ,Franklin Vargas     ,27 ,8
414   ,Luis Galeano        ,108,2
415   ,Laura Soto          ,47 ,7
416   ,Gerardo López      ,85 ,5
417   ,Iliana Padgett      ,104,8
418   ,Daniel Villela      ,18 ,8
419   ,Ricardo Gómez      ,71 ,1
420   ,David Varela        ,66 ,6
421   ,Ingrid Mejía       ,102,4
422   ,Gerardo Guevara     ,11 ,5
423   ,David Portillo      ,60 ,1
424   ,Marcela Varela      ,23 ,2
425   ,Mary Gómez         ,57 ,8
426   ,Josue Ordoñez      ,62 ,5
427   ,Daniel Villela      ,30 ,2
428   ,Richard Guevara     ,89 ,9
429   ,Alejandra Matamoros ,9  ,6
430   ,Tania Soto          ,97 ,9
431   ,Erick Luque         ,20 ,8
432   ,Gerardo Varela      ,90 ,7
433   ,Lester Portillo     ,17 ,8
434   ,Michael Rodriguez   ,79 ,9
435   ,Dennis Guevara      ,20 ,8
436   ,Enrique Andino      ,101,1
437   ,Laura Padgett       ,26 ,8
438   ,Josue Mendoza       ,12 ,6
439   ,Diego Villela       ,87 ,7
440   ,Osman Chirinos      ,25 ,3
441   ,Ingrid Luque        ,39 ,9
442   ,Leonardo Galo       ,72 ,4
443   ,Nohelia Villela     ,69 ,2
444   ,Daniel Nuñez       ,103,3
445   ,Josue Galeano       ,96 ,8
446   ,Ingrid Ordoñez     ,4  ,8
447   ,Iliana Sosa         ,34 ,1
448   ,Josue López        ,78 ,6
449   ,Mary Sosa           ,15 ,9
450   ,Miguel Chirinos     ,5  ,8
451   ,Carlos Gómez       ,27 ,4
452   ,Alex Pinto          ,21 ,6
453   ,Laura Velásquez    ,69 ,5
454   ,Lester Tabora       ,59 ,4
455   ,Carl Padgett        ,20 ,6
456   ,Lester Gonzalez     ,107,9
457   ,Dennis Euceda       ,21 ,3
458   ,Dennis Ordoñez     ,86 ,2
459   ,Nohelia Luque       ,30 ,5
460   ,Andrea Grito        ,96 ,4
461   ,Ricardo Borjas      ,6  ,6
462   ,Dennis Parker       ,18 ,2
463   ,Carlos Andino       ,61 ,7
464   ,Marcela Santos      ,41 ,4
465   ,Marcela Guevara     ,68 ,8
466   ,Jean Carlo Gonzalez ,81 ,7
467   ,Daniel Bocanegra    ,72 ,8
468   ,Alex Varela         ,46 ,9
469   ,Leonardo Varela     ,13 ,3
470   ,Dennis Sosa         ,74 ,4
471   ,Dennis Figueroa     ,93 ,4
472   ,Jean Carlo Suazo    ,68 ,1
473   ,Omar Mejía         ,36 ,5
474   ,Melvin Santos       ,24 ,4
475   ,Francisco Mejía    ,66 ,9
476   ,Franklin Padgett    ,23 ,5
477   ,Lester Martínez    ,38 ,4
478   ,Francisco Mendoza   ,91 ,1
479   ,Tania Gómez        ,44 ,2
480   ,Erick Figueroa      ,40 ,7
481   ,Enrique Euceda      ,55 ,8
482   ,Carlos Euceda       ,94 ,4
483   ,Gerardo Rojas       ,29 ,1
484   ,Luis Figueroa       ,72 ,7
485   ,Danilo Parker       ,86 ,7
486   ,Gerardo Sánchez    ,63 ,3
487   ,Tania Martínez     ,104,8
488   ,Carl Escobar        ,44 ,9
489   ,Miguel Villela      ,2  ,5
490   ,Carl Euceda         ,30 ,3
491   ,Franklin Sosa       ,19 ,4
492   ,Tania Grito         ,39 ,4
493   ,Oswaldo Varela      ,19 ,6
494   ,Miguel Padgett      ,71 ,4
495   ,Marcela Portillo    ,88 ,9
496   ,Marcela Kempe       ,42 ,6
497   ,Oswaldo Guevara     ,42 ,4
498   ,Leandro Matamoros   ,22 ,2
499   ,David Soto          ,26 ,5
500   ,Daniel Velásquez   ,100,8
501   ,Mary Martínez      ,83 ,7
502   ,Ana Escobar         ,35 ,9
503   ,Mary Mejía         ,75 ,2
504   ,Daniel Galo         ,55 ,8
505   ,Carl Euceda         ,64 ,9
506   ,Dennis Gómez       ,38 ,4
507   ,Erick Matamoros     ,31 ,8
508   ,Carl Guevara        ,86 ,9
509   ,Carlos Galo         ,15 ,8
510   ,Dennis Mejía       ,21 ,7
511   ,Leandro Gómez      ,25 ,6
512   ,Mary Pinto          ,45 ,7
513   ,Francisco Euceda    ,32 ,3
514   ,Luis Gómez         ,70 ,8
515   ,Gerardo Gómez      ,36 ,1
516   ,Josue Bocanegra     ,110,7
517   ,Laura Pinto         ,97 ,9
518   ,Osman Chirinos      ,104,3
519   ,Daniel Nuñez       ,26 ,7
520   ,Omar Matamoros      ,30 ,9
521   ,Luis Varela         ,52 ,2
522   ,Carlos Soto         ,83 ,9
523   ,Oswaldo Figueroa    ,31 ,3
524   ,Franklin Galo       ,14 ,8
525   ,Manuel Matamoros    ,87 ,7
526   ,Francisco Ordoñez  ,19 ,9
527   ,Marcela Bocanegra   ,36 ,2
528   ,Alejandra Villela   ,103,3
529   ,Miguel López       ,90 ,7
530   ,Michell Rojas       ,104,3
531   ,Manuel Galeano      ,63 ,7
532   ,Lester Soto         ,18 ,4
533   ,Lester Ordoñez     ,44 ,0
534   ,Tania Varela        ,73 ,3
535   ,Erick Rovelo        ,78 ,8
536   ,Michell Gonzalez    ,86 ,7
537   ,Ricardo Portillo    ,76 ,6
538   ,Alex Padgett        ,109,1
539   ,Richard Martínez   ,86 ,6
540   ,Carlos Matamoros    ,84 ,4
541   ,Francisco Borjas    ,80 ,2
542   ,Carl Soto           ,19 ,5
543   ,Jean Carlo Santos   ,109,6
544   ,Carl Rovelo         ,92 ,6
545   ,Oswaldo Escobar     ,107,3
546   ,Tania Mejía        ,12 ,3
547   ,Michell Galo        ,81 ,1
548   ,David Rovelo        ,14 ,3
549   ,Dennis Parker       ,30 ,0
550   ,Andrea Sánchez     ,66 ,5
551   ,Luis Mejía         ,41 ,3
552   ,Melvin Chirinos     ,53 ,7
553   ,Erick Tabora        ,89 ,4
554   ,Laura Sánchez      ,43 ,5
555   ,Omar Portillo       ,14 ,9
556   ,Nohelia Ordoñez    ,23 ,9
557   ,Alex Pinto          ,42 ,4
558   ,Luis Rodriguez      ,89 ,7
559   ,Lester Grito        ,72 ,4
560   ,Francisco Parker    ,91 ,1
561   ,Erick Soto          ,42 ,8
562   ,Ana Soto            ,3  ,3
563   ,Miguel Mejía       ,95 ,2
564   ,Nohelia Varela      ,10 ,3
565   ,Gerardo Figueroa    ,70 ,1
566   ,Franklin Villela    ,83 ,7
567   ,Oswaldo Bocanegra   ,38 ,1
568   ,Alejandra Padgett   ,49 ,3
569   ,Richard Gonzalez    ,4  ,4
570   ,Gerardo Sánchez    ,24 ,3
571   ,Mary Mejía         ,91 ,1
572   ,Miguel Luque        ,91 ,7
573   ,Michael Borjas      ,39 ,2
574   ,Diego Euceda        ,69 ,7
575   ,Michell Mendoza     ,24 ,6
576   ,Juan Luis Escobar   ,61 ,7
577   ,Leandro Euceda      ,102,8
578   ,Luis Sosa           ,38 ,9
579   ,Luis Martínez      ,90 ,6
580   ,Daniel Luque        ,100,8
581   ,Andrea Sánchez     ,49 ,3
582   ,Josue Rodriguez     ,41 ,7
583   ,Miguel Gonzalez     ,86 ,2
584   ,Josue Villela       ,101,7
585   ,Ana Soto            ,80 ,4
586   ,Carl Chirinos       ,88 ,9
587   ,Dennis Santos       ,14 ,8
588   ,Ingrid Sosa         ,41 ,6
589   ,Carl Guevara        ,22 ,2
590   ,Leonardo Kempe      ,41 ,3
591   ,Luis Sosa           ,12 ,5
592   ,Ricardo Rovelo      ,92 ,6
593   ,Elne Bocanegra      ,50 ,9
594   ,Omar Mejía         ,19 ,2
595   ,Enrique Padgett     ,58 ,7
596   ,Danilo Gómez       ,75 ,7
597   ,Alex Rovelo         ,91 ,6
598   ,Oswaldo Sosa        ,61 ,2
599   ,Dennis Mendoza      ,99 ,6
600   ,Manuel Rovelo       ,32 ,1
601   ,Melvin Sosa         ,107,6
602   ,Juan Luis López    ,81 ,3
603   ,Iliana Escobar      ,58 ,7
604   ,Elne Euceda         ,9  ,3
605   ,Leonardo Villela    ,67 ,1
606   ,Leandro Chirinos    ,54 ,4
607   ,Omar Pinto          ,24 ,3
608   ,Iliana Euceda       ,61 ,1
609   ,Michael Suazo       ,68 ,9
610   ,Daniel Sánchez     ,30 ,4
611   ,Osman Galo          ,10 ,7
612   ,Carl Sánchez       ,27 ,9
613   ,Michell Guevara     ,82 ,5
614   ,Andrea Matamoros    ,36 ,6
615   ,Luis Gonzalez       ,95 ,6
616   ,Jean Carlo Escobar  ,64 ,8
617   ,Franklin Figueroa   ,39 ,6
618   ,Lester Matamoros    ,15 ,9
619   ,Melvin Mendoza      ,65 ,9
620   ,Melvin Vargas       ,67 ,5
621   ,Dennis Velásquez   ,90 ,8
622   ,Elne Parker         ,79 ,6
623   ,Jean Carlo Rojas    ,10 ,3
624   ,Ana Gómez          ,21 ,7
625   ,Danilo Pinto        ,42 ,8
626   ,Lester Bocanegra    ,48 ,8
627   ,Juan Luis Grito     ,11 ,8
628   ,Manuel Gómez       ,79 ,2
629   ,Alejandra Padgett   ,25 ,6
630   ,Alejandra Portillo  ,86 ,2
631   ,Michell Vargas      ,99 ,8
632   ,Melvin Borjas       ,21 ,4
633   ,Lester Nuñez       ,106,2
634   ,Marcela Ordoñez    ,55 ,5
635   ,Tania Vargas        ,55 ,1
636   ,Nohelia Matamoros   ,35 ,9
637   ,Laura Kempe         ,71 ,3
638   ,Reynod Martínez    ,66 ,1
639   ,Gerardo Varela      ,58 ,9
640   ,Tania Guevara       ,68 ,9
641   ,Leandro Velásquez  ,57 ,3
642   ,Francisco Mendoza   ,70 ,5
643   ,Manuel Rodriguez    ,95 ,9
644   ,Alejandra Sosa      ,16 ,6
645   ,Carl Sánchez       ,61 ,3
646   ,Michael Escobar     ,19 ,3
647   ,Marcela Tabora      ,5  ,1
648   ,Nohelia Nuñez      ,40 ,3
649   ,Enrique Mejía      ,19 ,2
650   ,Oswaldo Chirinos    ,28 ,7
651   ,Lester Vargas       ,91 ,6
652   ,Carlos Villela      ,79 ,9
653   ,Alejandra Figueroa  ,68 ,7
654   ,Alex Chirinos       ,85 ,5
655   ,Daniel Villela      ,4  ,6
656   ,Marcela Nuñez      ,48 ,4
657   ,Tania Guevara       ,84 ,1
658   ,Oswaldo Guevara     ,72 ,1
659   ,Reynod Escobar      ,108,5
660   ,Mary Kempe          ,34 ,4
661   ,Ricardo Pinto       ,58 ,9
662   ,Alejandra Velásquez,65 ,3
663   ,Daniel Chirinos     ,71 ,6
664   ,Daniel Grito        ,30 ,7
665   ,Oswaldo Parker      ,31 ,2
666   ,Enrique Gómez      ,63 ,6
667   ,Marcela Galo        ,8  ,8
668   ,Erick Villela       ,45 ,9
669   ,Lester Gómez       ,15 ,9
670   ,Tania Sosa          ,87 ,1
671   ,Ricardo Figueroa    ,48 ,7
672   ,Richard Rojas       ,69 ,2
